trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
150,False,"{'a': 0.002, 'e': 0.7423013397477743}",20,0,-75.73404075550596,"{0: 13, 1: 1, 2: 5, 3: 0, 4: 1}",0
151,False,"{'a': 0.002, 'e': 0.7408182206817179}",25,14,4.5099777969570205,"{0: 9, 1: 2, 2: 0, 3: 0, 4: 0}",1
152,False,"{'a': 0.002, 'e': 0.7393380648895319}",25,0,-81.35191522228678,"{0: 16, 1: 2, 2: 6, 3: 0, 4: 1}",0
153,False,"{'a': 0.002, 'e': 0.7378608664505911}",20,0,-37.95283473288503,"{0: 15, 1: 1, 2: 3, 3: 1, 4: 0}",0
154,False,"{'a': 0.002, 'e': 0.7363866194561001}",20,0,-70.48442345700394,"{0: 14, 1: 0, 2: 5, 3: 0, 4: 1}",0
155,False,"{'a': 0.002, 'e': 0.7349153180090687}",25,0,-53.28510888437159,"{0: 19, 1: 3, 2: 2, 3: 0, 4: 1}",0
156,False,"{'a': 0.002, 'e': 0.7334469562242892}",20,0,-61.43580260858505,"{0: 13, 1: 5, 2: 1, 3: 0, 4: 1}",0
157,False,"{'a': 0.002, 'e': 0.7319815282283126}",25,0,-38.82716284072711,"{0: 18, 1: 2, 2: 5, 3: 0, 4: 0}",0
158,False,"{'a': 0.002, 'e': 0.7305190281594249}",25,0,-29.191961166620292,"{0: 22, 1: 1, 2: 1, 3: 0, 4: 1}",0
159,False,"{'a': 0.002, 'e': 0.7290594501676237}",20,0,-77.21180669307256,"{0: 12, 1: 4, 2: 3, 3: 0, 4: 1}",0
160,False,"{'a': 0.002, 'e': 0.7276027884145955}",25,0,-117.16795105625515,"{0: 17, 1: 0, 2: 6, 3: 0, 4: 2}",0
161,False,"{'a': 0.002, 'e': 0.7261490370736909}",25,0,-108.51193267812617,"{0: 17, 1: 3, 2: 3, 3: 0, 4: 2}",0
162,False,"{'a': 0.002, 'e': 0.7246981903299029}",20,15,0.8245321075974088,"{0: 4, 1: 1, 2: 0, 3: 0, 4: 0}",1
163,False,"{'a': 0.002, 'e': 0.7232502423798424}",20,0,-100.79891249172161,"{0: 13, 1: 3, 2: 2, 3: 0, 4: 2}",0
164,False,"{'a': 0.002, 'e': 0.7218051874317158}",20,0,-24.68725232401993,"{0: 15, 1: 1, 2: 4, 3: 0, 4: 0}",0
